ID,Project Status,Building Name,Planning Approval Street Number,Planning Approval Street Name,Mapping Address,Section 415 Declaration of Intent,Tenure,Total Units in Building or Phase,Total Units Subject to Section 415,Total BMRs in this Building or Phase,Total BMRs On-Site,Total BMRs Off-Site,Off-Site Units at this Site,Principal Project Address,Off-Site Address,Planning Approval Date,Completion Date,Neighborhood,Planning Neighborhood,Supervisor District,Plan Area,Location
150,Completed,1840 Washington Street,1840,Washington Street,"1840 Washington St, San Francisco, CA, 94109",Fee Payment ,Ownership,26,26,0,0,0,0,,,07/14/2005,02/27/2012,Pacific Heights,Pacific Heights,2,Van Ness Corridor,"1840 Washington St
San Francisco, CA 94109
(37.792975, -122.423713)"
92,Completed,Lofts@One Powell (10 Cyril Magnin),1,Powell Street ,"1 Powell St, San Francisco, CA, 94102",On-site BMR Project ,Rental,40,40,4,4,0,0,,,06/26/2003,08/11/2005,Tenderloin,Downtown/Civic Center,3,Downtown,"1 Powell St
San Francisco, CA 94102
(37.784603, -122.407687)"
139,Completed,Mosaica 601,601,Alabama Street,"601 Alabama St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,34,34,21,21,0,0,,,04/07/2005,04/29/2009,Mission,Mission,9,Mission (Eastern Neighborhoods),"601 Alabama St
San Francisco, CA 94110
(37.761011, -122.411977)"
307,Entitled/Approved,2101-2155 Webster,2101-2155 ,Webster Street,"2101 Webster St, San Francisco, CA, 94115",Fee Payment ,Ownership,76,76,0,0,0,0,,,05/05/2014,,Pacific Heights,Pacific Heights,2,,"2101 Webster St
San Francisco, CA 94115
(37.790201, -122.43244)"
233,Completed,Mosso,900,Folsom Street,"900 Folsom St, San Francisco, CA, 94103",On-site BMR Project ,Rental,281,281,42,42,0,0,,,05/20/2010,09/05/2014,South of Market,South of Market,6,Central SoMa,"900 Folsom St
San Francisco, CA 94103
(37.779875, -122.403902)"
369,Entitled/Approved,2100 Market ,2100,Market Street,"2100 Market St, San Francisco, CA 94114",On-site BMR Project ,Rental,62,62,7,7,0,0,,,02/04/2016,,Castro/Upper Market,Castro/Upper Market,8,Market and Octavia,"2100 Market St
San Francisco, CA 94114
(37.767315, -122.429294)"
121,Completed,475 Tehama Street ,475,Tehama Street (aka 470 Clementina),"475 Tehama St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,09/09/2004,04/25/2005,South of Market,South of Market,6,Central SoMa,"475 Tehama St
San Francisco, CA 94103
(37.779815, -122.406009)"
212,Completed,The Century,2200,Market Street ,"2200 Market St, San Francisco, CA, 94114",On-site BMR Project ,Ownership,22,22,3,3,0,0,,,12/11/2008,02/18/2014,Castro/Upper Market,Castro/Upper Market,8,Market and Octavia,"2200 Market St
San Francisco, CA 94114
(37.76561, -122.431456)"
216,First Construction Document Issued,1622-1650 Broadway,1622-1650,Broadway,"1622 Broadway, San Francisco, CA, 94123",Fee Payment ,Unknown,34,34,0,0,0,0,,,03/12/2009,,Pacific Heights,Pacific Heights,2,Van Ness Corridor,"1622 Broadway
San Francisco, CA 94123
(37.795684, -122.423826)"
115,Completed,Millwheel South,1275-1301,Indiana Street ,"1275 Indiana St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,32,32,4,4,0,0,,,07/01/2004,04/19/2012,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"1275 Indiana St
San Francisco, CA 94107
(37.754335, -122.390835)"
42,Completed,545 Leavenworth,545,Leavenworth ,"545 Leavenworth St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,06/10/1999,01/01/2001,Tenderloin,Downtown/Civic Center,6,,"545 Leavenworth St
San Francisco, CA 94109
(37.786142, -122.414724)"
66,Completed,OceanView Terrace,8100,Oceanview Terrace,"8100 Oceanview Ter, San Francisco, CA, 94132",On-site BMR Project ,Ownership,15,15,2,2,0,0,,,01/01/2002,01/01/2003,Oceanview/Merced/Ingleside,Ocean View,7,,"8100 Oceanview Ter
San Francisco, CA 94132
(37.7102, -122.46684)"
386,Entitled/Approved,915 Minna St,915,Minna Street,"915 Minna St, San Francisco, CA 94103",On-site BMR Project,Rental,46,46,6,6,0,0,,,05/12/2016,,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"915 Minna St
San Francisco, CA 94103
(37.774412, -122.415937)"
1,Completed,550 South Van Ness Ave,550,South Van Ness Avenue,"550 South Van Ness Ave, San Francisco, CA, 94110",On-site BMR Project ,Ownership,36,36,8,8,0,0,,,11/30/1989,01/01/1992,Mission,Mission,9,Mission (Eastern Neighborhoods),"550 South Van Ness Ave
San Francisco, CA 94110
(37.764397, -122.417406)"
53,Completed,The Midtown,1452,Bush Street ,"1452 Bush St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,22,22,2,2,0,0,,,03/22/2001,02/02/2004,Nob Hill,Nob Hill,3,Van Ness Corridor,"1452 Bush St
San Francisco, CA 94109
(37.788584, -122.421219)"
104,Completed,SOMA Grand,1160,Mission Street,"1160 Mission St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,246,246,29,29,0,0,,,12/04/2003,01/01/2008,South of Market,South of Market,6,Downtown,"1160 Mission St
San Francisco, CA 94103
(37.778165, -122.412266)"
230,Completed,"301-303, 307-309 & 313-315 Moraga",1701,09th Avenue,"1701 9th Ave, San Francisco, CA, 94122",Fee Payment ,Unknown,6,6,0,0,0,0,,,01/01/2010,12/31/2013,Inner Sunset,Inner Sunset,7,,"1701 9th Ave
San Francisco, CA 94122
(37.756403, -122.465776)"
339,Entitled/Approved,19-25 Mason Street & 2-16 Turk Street,19-25,Mason Street,"19 Mason St, San Francisco, CA, 94102",Fee Payment ,Unknown,155,155,0,0,0,0,,,04/16/2015,,Tenderloin,Downtown/Civic Center,6,Downtown,"19 Mason St
San Francisco, CA 94102
(37.783809, -122.409206)"
28,Completed,3445 Geary (PM Name 3425 Geary),3425,Geary Blvd,"3425 Geary Blvd, San Francisco, CA, 94118",On-site BMR Project ,Rental,33,33,3,3,0,0,,,10/19/1997,05/21/2001,Lone Mountain/USF,Inner Richmond,1,,"3425 Geary Blvd
San Francisco, CA 94118
(37.781356, -122.455684)"
190,Completed,1868 Van Ness Avenue ,1868,Van Ness Avenue,"1868 Van Ness Ave, San Francisco, CA, 94109",Fee Payment ,Unknown,35,35,0,0,0,0,,,06/07/2007,02/26/2010,Russian Hill,Nob Hill,3,Van Ness Corridor,"1868 Van Ness Ave
San Francisco, CA 94109
(37.792838, -122.422755)"
29,Completed,Bridgeview,400,Beale Street,"400 Beale St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,245,245,24,24,0,0,,,12/11/1997,01/01/2003,Financial District,South of Market,6,Rincon Hill,"400 Beale St
San Francisco, CA 94105
(37.787114, -122.390742)"
23,Completed,USF - Loyola Village,600,Anza Blvd,"600 Anza St, San Francisco, CA, 94118",On-site BMR Project ,Rental,136,136,17,17,0,0,,,03/06/1997,01/01/2002,Lone Mountain/USF,Inner Richmond,1,,"600 Anza St
San Francisco, CA 94118
(37.780405, -122.452904)"
97,Completed,The Infinity ,300,"Spear Street (aka 160 Harrison, 301 Main)","300 Spear St, San Francisco, CA, 94105",Off-site BMR Project,Ownership,655,655,0,0,163,0,,888 7th Street (170 of 224 ownership units) & 900 Gilman (20 ownership units) ,09/04/2003,01/01/2008,Financial District,South of Market,6,Rincon Hill,"300 Spear St
San Francisco, CA 94105
(37.789921, -122.390809)"
226,Completed,750 Second Street,750,02nd Street,"750 2nd St, San Francisco, CA, 94107",Fee Payment ,Unknown,14,14,0,0,0,0,,,09/10/2009,11/16/2012,Mission Bay,South of Market,6,East SoMa (Eastern Neighborhoods),"750 2nd St
San Francisco, CA 94107
(37.780262, -122.390087)"
373,Entitled/Approved,1567 California ,1567,California  Street,"1436 Polk St, San Francisco, CA 94109",On-site BMR Project /Fee Payment,Ownership,63,63,2,2,0,0,,,02/25/2016,,Nob Hill,Nob Hill,3,,"1436 Polk St
San Francisco, CA 94109
(37.790257, -122.420626)"
91,Completed,Odeon,150,Powell Street ,"150 Powell St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,29,29,3,3,0,0,,,06/12/2003,01/01/2006,Financial District,Downtown/Civic Center,3,Downtown,"150 Powell St
San Francisco, CA 94102
(37.786118, -122.407991)"
44,Completed,900 Van Ness,900,Van Ness Avenue,"900 Van Ness Ave, San Francisco, CA, 94109",On-site BMR Project ,Rental,28,28,3,3,0,0,,,08/05/1999,01/01/2003,Tenderloin,Downtown/Civic Center,6,Van Ness Corridor,"900 Van Ness Ave
San Francisco, CA 94109
(37.783991, -122.420975)"
380,Entitled/Approved,875 California,875,California Street,"875 California St, San Francisco, CA 94108",Fee Payment ,Unknown,44,44,0,0,0,0,,,04/07/2016,,Nob Hill,Chinatown,3,,"875 California St
San Francisco, CA 94108
(37.792106, -122.408748)"
170,Completed,Venn,1844,Market Street  ,"1844 Market St, San Francisco, CA, 94102",On-site BMR Project ,Rental,113,113,14,14,0,0,,,05/11/2006,01/01/2013,Hayes Valley,Western Addition,8,Market and Octavia,"1844 Market St
San Francisco, CA 94102
(37.77132, -122.424239)"
220,Completed,Avalon Ocean Avenue,1150,Ocean Avenue ,"1150 Ocean Ave, San Francisco, CA, 94112",On-site BMR Project ,Rental,173,173,26,26,0,0,,,05/21/2009,01/09/2012,West of Twin Peaks,West of Twin Peaks,7,Balboa Park,"1150 Ocean Ave
San Francisco, CA 94112
(37.723637, -122.455027)"
374,Entitled/Approved,88 Arkansas,88,Arkansas Street,"88 Arkansas St, San Francisco, CA 94107",On-site BMR Project ,Rental,127,127,25,25,0,0,,,03/03/2016,,Mission Bay,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"88 Arkansas St
San Francisco, CA 94107
(37.765068, -122.398664)"
55,Completed,149 Fair Oaks,149,Fair Oaks,"149 Fair Oaks St, San Francisco, CA, 94110",On-site BMR Project ,Rental,12,12,1,1,0,0,,,05/05/2001,01/01/2002,Mission,Mission,8,,"149 Fair Oaks St
San Francisco, CA 94110
(37.754304, -122.424216)"
45,Completed,348 Hyde,336,Hyde Street,"336 Hyde St, San Francisco, CA, 94109",On-site BMR Project ,Rental,12,12,1,1,0,0,,,10/14/1999,06/08/2004,Tenderloin,Downtown/Civic Center,6,,"336 Hyde St
San Francisco, CA 94109
(37.784074, -122.416011)"
365,Entitled/Approved,475 Minna,475,Minna Street,"475 Minna St, San Francisco, CA 94103",On-site BMR Project ,Ownership,15,15,3,3,0,0,,,12/10/2015,,South of Market,South of Market,6,Downtown,"475 Minna St
San Francisco, CA 94103
(37.781061, -122.4075)"
163,Completed,3520 20th Street,3520,20th Street,"3520 20th St, San Francisco, CA, 94110",Fee Payment ,Ownership,14,14,0,0,0,0,,,01/01/2006,05/08/2008,Mission,Mission,9,Mission (Eastern Neighborhoods),"3520 20th St
San Francisco, CA 94110
(37.758613, -122.419656)"
280,Completed,1400 Mission Street,1400,Mission Street,"1400 Mission St, San Francisco, CA, 94103",Units for Off-site Project with Onsite Obligation,Ownership,190,26,167,3,0,164,201 Folsom Street (Lumina),,01/17/2013,07/15/2015,South of Market,South of Market,6,Downtown,"1400 Mission St
San Francisco, CA 94103
(37.775328, -122.415858)"
243,Completed,616 20th Street ,616,20th Street,"616 20th St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,16,16,2,2,0,0,,,12/09/2010,11/12/2013,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"616 20th St
San Francisco, CA 94107
(37.760531, -122.387976)"
305,First Construction Document Issued,650 Indiana,650,Indiana Street ,"650 Indiana St, San Francisco, CA, 94107",On-site BMR Project ,Rental,111,111,16,16,0,0,,,05/01/2014,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"650 Indiana St
San Francisco, CA 94107
(37.762223, -122.391606)"
164,Completed,1299 Bush Street ,1299,Bush Street ,"1299 Bush St, San Francisco, CA, 94109",Fee Payment ,Unknown,26,26,0,0,0,0,,,03/02/2006,05/28/2008,Nob Hill,Downtown/Civic Center,3,,"1299 Bush St
San Francisco, CA 94109
(37.788942, -122.418405)"
25,Completed,788 8th Avenue ,788,08th Avenue,"788 8th Ave, San Francisco, CA, 94118",On-site BMR Project ,Rental,12,12,1,1,0,0,,,05/22/1997,01/01/2004,Inner Richmond,Inner Richmond,1,,"788 8th Ave
San Francisco, CA 94118
(37.773671, -122.465908)"
126,Completed,1748 Haight,1726,Haight Street,"1728 Haight St, San Francisco, CA, 94117",Fee Payment ,Unknown,30,30,0,0,0,0,,,10/28/2004,01/01/2004,Haight Ashbury,Haight Ashbury,5,,"1728 Haight St
San Francisco, CA 94117
(37.769484, -122.450889)"
209,Completed,299 Valencia Street,299,Valencia Street ,"299 Valencia St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,36,36,4,4,0,0,,,11/06/2008,06/13/2012,Mission,Mission,9,Market and Octavia,"299 Valencia St
San Francisco, CA 94103
(37.768317, -122.422229)"
345,Entitled/Approved,901 Tennessee,901,Tennessee Street,"901 Tennessee St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,44,44,6,6,0,0,,,05/21/2015,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"901 Tennessee St
San Francisco, CA 94107
(37.7602, -122.389463)"
352,Entitled/Approved,145 Leavenworth,145,Leavenworth Street,"145 Leavenworth St, San Francisco, CA, 94102",On-site BMR Project ,Rental ,94,94,11,11,0,0,,,07/09/2015,,Tenderloin,Downtown/Civic Center,6,Downtown,"145 Leavenworth St
San Francisco, CA 94102
(37.782356, -122.413967)"
387,Entitled/Approved,2224 Clement St,2224,Clement Street,"2224 Clement St, San Francisco, CA 94121",Fee Payment,Unknown,16,16,0,0,0,0,,,05/12/2016,,Outer Richmond,Outer Richmond,1,,"2224 Clement St
San Francisco, CA 94121
(37.782078, -122.483403)"
192,Completed,168 Hyde Street,168,Hyde Street,"168 Hyde St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,31,31,3,3,0,0,,,01/01/2008,08/08/2008,Tenderloin,Downtown/Civic Center,6,,"168 Hyde St
San Francisco, CA 94102
(37.782331, -122.415655)"
95,Completed,199 New Montgomery ,199,New Montgomery,"199 New Montgomery St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,166,166,18,18,0,0,,,07/26/2003,01/06/2006,Financial District,Financial District,6,Downtown,"199 New Montgomery St
San Francisco, CA 94105
(37.786427, -122.399245)"
85,Completed,3000 23rd Street,2690,Harrison Street,"2690 Harrison St, San Francisco, CA, 94110",On-site BMR Project ,Rental,54,54,7,7,0,0,,,03/20/2003,10/27/2006,Mission,Mission,9,Mission (Eastern Neighborhoods),"2690 Harrison St
San Francisco, CA 94110
(37.75452, -122.412099)"
33,Completed,280 Fell / 300 Gough,280,Fell Street  ,"280 Fell St, San Francisco, CA, 94102",On-site BMR Project ,Rental,34,34,4,4,0,0,,,06/18/1998,01/01/2000,Hayes Valley,Downtown/Civic Center,5,Market and Octavia,"280 Fell St
San Francisco, CA 94102
(37.775991, -122.422504)"
288,Completed,101 Polk Street,101,Polk Street,"101 Polk St, San Francisco, CA, 94102",On-site BMR Project ,Rental,162,162,19,19,0,0,,,05/09/2013,03/17/2016,Tenderloin,Downtown/Civic Center,6,Civic Center,"101 Polk St
San Francisco, CA 94102
(37.777782, -122.41811)"
35,Completed,945 Vermont,929,Vermont Street,"929 Vermont St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,10,10,1,1,0,0,,,09/17/1998,01/01/2004,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"929 Vermont St
San Francisco, CA 94107
(37.757675, -122.40351)"
94,Completed,Broderick Place,1275,Fell Street  ,"1275 Fell St, San Francisco, CA, 94117",On-site BMR Project ,Ownership,70,70,8,8,0,0,,,07/17/2003,11/01/2007,Hayes Valley,Haight Ashbury,5,,"1275 Fell St
San Francisco, CA 94117
(37.773908, -122.438815)"
239,Completed,ICON,2299,Market Street,"2299 Market St, San Francisco, CA, 94114",Fee Payment ,Unknown,18,18,0,0,0,0,,,08/16/2010,07/22/2013,Castro/Upper Market,Castro/Upper Market,8,,"2299 Market St
San Francisco, CA 94114
(37.76424, -122.432929)"
201,Completed,Blu,631,Folsom Street,"631 Folsom St, San Francisco, CA, 94107",Fee Payment ,Ownership,120,120,0,0,0,0,,,05/22/2008,01/21/2008,Financial District,South of Market,6,Yerba Buena,"631 Folsom St
San Francisco, CA 94107
(37.785148, -122.397218)"
224,Completed,Arc Light Co. (AKA 21 Clarence) ,178,Townsend Street,"178 Townsend St, San Francisco, CA, 94107",On-site BMR Project ,Rental,94,94,19,19,0,0,,,09/03/2009,03/28/2012,Financial District,South of Market,6,Central SoMa,"178 Townsend St
San Francisco, CA 94107
(37.779115, -122.392439)"
206,Building Permit Issued,5050 Mission Street ,5050,Mission Street,"5050 Mission St, San Francisco, CA, 94112",On-site BMR Project ,Unknown,61,61,9,9,0,0,,,08/14/2008,,Outer Mission,Outer Mission,11,,"5050 Mission St
San Francisco, CA 94112
(37.717472, -122.440265)"
141,Completed,74 New Montgomery Street,74,New Montgomery,"74 New Montgomery St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,107,107,11,11,0,0,,,05/05/2005,12/31/2007,Financial District,Financial District,6,Downtown,"74 New Montgomery St
San Francisco, CA 94105
(37.787866, -122.400989)"
24,Completed,Clipper Street,672-676 B,Clipper (aka 25th Street),"672 Clipper St, San Francisco, CA, 94114",On-site BMR Project ,Ownership,24,24,2,2,0,0,,,05/22/1997,01/01/2001,Noe Valley,Noe Valley,8,,"672 Clipper St
San Francisco, CA 94114
(37.748647, -122.439398)"
264,Completed,527-529 Stevenson Street,527-529 ,Stevenson Street,"527 Stevenson St, San Francisco, CA, 94103",On-site BMR Project ,Rental,60,60,9,9,0,0,,,12/15/2011,07/23/2015,South of Market,South of Market,6,Downtown,"527 Stevenson St
San Francisco, CA 94103
(37.78125, -122.41036)"
175,Completed,"Trinity Plaza Apartments, Phase I",1167,Market Street,"1167 Market St, San Francisco, CA, 94103",On-site BMR Project ,Rental,440,440,12,12,0,0,,,08/03/2006,10/27/2009,South of Market,South of Market,6,Downtown,"1167 Market St
San Francisco, CA 94103
(37.779444, -122.413831)"
32,Completed,Carlin Senior Apartments,286,Valencia Street ,"286 Valencia St, San Francisco, CA, 94103",On-site BMR Project ,Rental,36,36,4,4,0,0,,,05/05/1998,01/01/2000,Mission,Mission,8,Market and Octavia,"286 Valencia St
San Francisco, CA 94103
(37.768324, -122.422229)"
222,Completed,870 Harrison Street,870,Harrison Street,"870 Harrison St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,26,26,4,4,0,0,,,06/18/2009,01/08/2015,South of Market,South of Market,6,Central SoMa,"870 Harrison St
San Francisco, CA 94107
(37.77955, -122.401204)"
303,Entitled/Approved,2601 Van Ness Avenue,2601,Van Ness Avenue,"2601 Van Ness Ave, San Francisco, CA, 94123",Fee Payment ,Unknown,27,27,0,0,0,0,,,03/13/2014,,Marina,Marina,2,Van Ness Corridor,"2601 Van Ness Ave
San Francisco, CA 94123
(37.799732, -122.424288)"
38,Completed,Yerba Buena Lofts,855,Folsom Street,"855 Folsom St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,200,200,20,20,0,0,,,01/21/1999,01/01/2002,South of Market,South of Market,6,Central SoMa,"855 Folsom St
San Francisco, CA 94107
(37.781073, -122.402384)"
180,Completed,725 Pine Street ,725,Pine Street ,"725 Pine St, San Francisco, CA, 94108",On-site BMR Project ,Ownership,22,22,2,2,0,0,,,11/14/2006,09/12/2007,Nob Hill,Chinatown,3,,"725 Pine St
San Francisco, CA 94108
(37.791252, -122.407727)"
123,Completed,1587 15th Street,1905,Mission Street,"1905 Mission St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,24,24,3,3,0,0,,,10/20/2004,03/07/2007,Mission,Mission,9,Mission (Eastern Neighborhoods),"1905 Mission St
San Francisco, CA 94103
(37.766529, -122.419807)"
186,Completed,"NEMA, Phase I (South & North Tower)",1407-1435,Market Street,"1407 Market St, San Francisco, CA, 94103",On-site BMR Project ,Rental,317,317,38,38,0,0,,,04/05/2007,06/06/2013,South of Market,South of Market,6,Downtown,"1407 Market St
San Francisco, CA 94103
(37.776439, -122.417647)"
294,Entitled/Approved,2290 3rd Street,2290,03rd Street,"2290 3rd St, San Francisco, CA, 94107",Fee Payment ,Ownership,71,71,0,0,0,0,,,08/08/2013,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"2290 3rd St
San Francisco, CA 94107
(37.760815, -122.388696)"
118,Completed,520 Chestnut Street,520,Chestnut Street,"520 Chestnut St, San Francisco, CA, 94133",On-site BMR Project ,Ownership,20,20,2,2,0,0,,,08/12/2004,02/26/2007,North Beach,North Beach,3,,"520 Chestnut St
San Francisco, CA 94133
(37.803913, -122.412068)"
83,Completed,69 Clementina,69,Clementina Street,"69 Clementina St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,18,18,2,2,0,0,,,02/27/2003,01/01/2005,Financial District,Financial District,6,Downtown,"69 Clementina St
San Francisco, CA 94105
(37.786569, -122.396495)"
36,Completed,1578 Indiana,1578,Indiana Street ,"1578 Indiana St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,12,12,2,2,0,0,,,10/16/1998,01/01/2003,Bayview Hunters Point,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"1578 Indiana St
San Francisco, CA 94107
(37.750497, -122.390477)"
117,Completed,6 Mint Plaza,418-420,Jessie Street ,"418 Jessie St, San Francisco, CA, 94103",On-site BMR Project ,Rental,25,25,3,3,0,0,,,08/05/2004,01/01/2008,South of Market,South of Market,6,Downtown,"418 Jessie St
San Francisco, CA 94103
(37.782599, -122.407705)"
275,First Construction Document Issued,41 Tehama,41,Tehama Street,"41 Tehama St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,325,325,49,49,0,0,,,11/29/2012,,Financial District,Financial District,6,Downtown,"41 Tehama St
San Francisco, CA 94105
(37.787372, -122.396412)"
210,First Construction Document Issued,2800 Sloat Boulevard,2800,Sloat Blvd. ,"2800 Sloat Blvd, San Francisco, CA, 94116",On-site BMR Project ,Ownership,56,56,7,7,0,0,,,11/13/2008,,Sunset/Parkside,Parkside,4,Western Shoreline,"2800 Sloat Blvd
San Francisco, CA 94116
(37.735567, -122.504745)"
278,Completed,2554-2558 Mission Street,2554-2558,Mission Street,"2554 Mission St, San Francisco, CA, 94110",Land Dedication ,Ownership,114,114,0,0,0,0,,,01/10/2013,01/12/2015,Mission,Mission,9,Mission (Eastern Neighborhoods),"2554 Mission St
San Francisco, CA 94110
(37.756078, -122.418808)"
99,Completed,2525 California,2525,California Street,"2525 California St, San Francisco, CA, 94115",Fee Payment ,Unknown,16,16,0,0,0,0,,,09/04/2003,03/21/2007,Pacific Heights,Western Addition,2,,"2525 California St
San Francisco, CA 94115
(37.788625, -122.436049)"
232,Completed,Habitat Terrace,1,Capitol Avenue,"1 Capitol Ave, San Francisco, CA, 94112",Units for Off-site Project,Ownership,28,0,17,0,0,17,800 Brotherhood Way ,,05/13/2010,05/13/2015,Oceanview/Merced/Ingleside,Ocean View,11,,"1 Capitol Ave
San Francisco, CA 94112
(37.710875, -122.459021)"
19,Completed,3930 24th Street,3922-32,24th Street,"3922 24th St, San Francisco, CA, 94114",On-site BMR Project ,Rental,19,19,2,2,0,0,,,10/12/1995,01/01/2003,Noe Valley,Noe Valley,8,,"3922 24th St
San Francisco, CA 94114
(37.751522, -122.430413)"
109,Completed,Mission Valencia (FNA Valencia Triangle),3184,Mission Street,"3184 Mission St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,20,20,2,2,0,0,,,04/01/2004,04/21/2006,Bernal Heights,Bernal Heights,9,,"3184 Mission St
San Francisco, CA 94110
(37.746131, -122.419547)"
106,Completed,8 Landers,8,Landers Street,"8 Landers St, San Francisco, CA, 94114",On-site BMR Project ,Ownership,14,14,1,1,0,0,,,12/22/2003,05/25/2006,Castro/Upper Market,Castro/Upper Market,8,Market and Octavia,"8 Landers St
San Francisco, CA 94114
(37.767555, -122.427868)"
78,Completed,The Folsom Lantern,1168-1174,Folsom Street,"1168 Folsom St, San Francisco, CA, 94103",On-site BMR Project ,Rental,22,22,1,1,0,0,,,01/01/2003,12/22/2005,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"1168 Folsom St
San Francisco, CA 94103
(37.775502, -122.409424)"
290,First Construction Document Issued,344 Fulton,344,Fulton Street,"344 Fulton St, San Francisco, CA, 94102",On-site BMR Project ,Rental,69,69,8,8,0,0,,,05/24/2013,,Hayes Valley,Downtown/Civic Center,5,Market and Octavia,"344 Fulton St
San Francisco, CA 94102
(37.778811, -122.422836)"
228,Completed,Vara,1880-1886,Mission Street,"1880 Mission St, San Francisco, CA, 94103",On-site BMR Project ,Rental,202,202,40,40,0,0,,,11/23/2009,01/01/2013,Mission,Mission,9,Mission (Eastern Neighborhoods),"1880 Mission St
San Francisco, CA 94103
(37.767192, -122.419873)"
343,Entitled/Approved,San Francisco Overlook,599,Crestmont Street,"599 Crestmont Dr, San Francisco, CA, 94131",Fee Payment ,Unknown,29,29,0,0,0,0,,,05/14/2015,,Inner Sunset,Inner Sunset,7,,"599 Crestmont Dr
San Francisco, CA 94131
(37.759083, -122.459454)"
65,Completed,1234 Howard Street ,1234,Howard Street ,"1234 Howard St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,18,18,2,2,0,0,,,01/01/2002,10/04/2007,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"1234 Howard St
San Francisco, CA 94103
(37.775698, -122.412272)"
165,Completed,3190 Scott Street,3190,Scott Street,"3190 Scott St, San Francisco, CA, 94123",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,03/09/2006,01/01/2010,Marina,Marina,2,,"3190 Scott St
San Francisco, CA 94123
(37.799093, -122.440962)"
147,Completed,"Candlestick Point - The Cove,  Phase II",301-501,Crescent Way ,"301 Crescent Ct, San Francisco, CA, 94134",On-site BMR Project ,Ownership,176,176,18,18,0,0,,,06/16/2005,08/29/2007,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"301 Crescent Ct
San Francisco, CA 94134
(37.711486, -122.388334)"
30,Completed,118 Wood Street,2743-2761,Geary Street,"2743 Geary Blvd, San Francisco, CA, 94118",On-site BMR Project ,Rental,22,22,2,2,0,0,,,01/08/1998,01/01/1999,Lone Mountain/USF,Inner Richmond,1,,"2743 Geary Blvd
San Francisco, CA 94118
(37.782195, -122.448739)"
207,Completed,1266 9th Avenue,1266,09th Avenue,"1266 9th Ave, San Francisco, CA, 94122",Fee Payment ,Unknown,15,15,0,0,0,0,,,10/16/2008,01/09/2014,Inner Sunset,Inner Sunset,5,,"1266 9th Ave
San Francisco, CA 94122
(37.764548, -122.466354)"
204,Completed,1355 Pacific Avenue ,1355,Pacific Avenue ,"1355 Pacific Ave, San Francisco, CA, 94109",On-site BMR Project ,Ownership,23,23,2,2,0,0,,,07/27/2008,05/11/2010,Russian Hill,Nob Hill,3,,"1355 Pacific Ave
San Francisco, CA 94109
(37.795563, -122.417559)"
86,Completed,88 Townsend (Formerly 639-669 2nd Street),88,Townsend Street,"88 Townsend St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,112,112,13,13,0,0,,,03/27/2003,01/01/2004,Financial District,South of Market,6,East SoMa (Eastern Neighborhoods),"88 Townsend St
San Francisco, CA 94107
(37.780743, -122.39037)"
